_link,id,tag,date,ocid,initiationType,award_date,buyer_id,buyer_name,tender_id,tender_datePublished,tender_title,tender_procurementMethod,tender_process,tender_mainProcurementCategory,tender_numberOfTenderers,tender_externalReference,tender_allowPreferentialBidder,tender_description,tender_contractType,tender_allowTwoStageBid,tender_value_amount,tender_bidOpening_address_streetAddress,tender_evaluation_generalTechnicalEvaluationAllowed,tender_evaluation_itemWiseTechnicalEvaluationAllowed,tender_awardPeriod_startDate,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_tenderPeriod_durationInDays,tender_contractPeriod_durationInDays,tender_procuringEntity_id,tender_procuringEntity_name,tender_ documentAvailabilityPeriod_endDate,tender_ documentAvailabilityPeriod_startDate,tender_enquiryPeriod_endDate,tender_enquiryPeriod_startDate,tender_classification_id,tender_classification_scheme,tender_classification_description,tender_value_currency
0.0,ocds-kjhdrl-2016_BSMDA_13587_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_BSMDA_13587_1,tender,2018-07-25T00:00:00Z,BSMDA_2000,Bus Stands Management and Development Authority,2016_BSMDA_13587_1,2016-11-11T16:30:00Z,Balance works in HRTC Workshop Rampur at Una,limited,Tender,works,7,Rampur at Una,No,Balance works in HRTC Workshop Rampur at Una. Sub Head Construction 12 no. workshop rooms 4 no. Stores 1 no. washing Dug shed Cement Concrete pavement in Bus Movement area Road side drain and boundary wall etc.,itemRate,No,11807783,Nagrota Bagwan,No,No,2016-12-05T11:30:00Z,2016-12-05T10:30:00Z,2016-11-11T17:00:00Z,180,180,BSMDA_2000,Er. Sanjeevan Dhiman,2016-12-05T10:30:00Z,2016-11-11T17:00:00Z,,,,,,
0.1,ocds-kjhdrl-2014_HPIPH_3288_2-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2014_HPIPH_3288_2,tender,2019-06-18T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2014_HPIPH_3288_2,2014-01-08T18:00:00Z,AR and MO Sewerage Scheme Manali Town SH Repair and Maintenance of complete sewer net work manholes flushing tanks and STP 1.82 MLD capacity for two years 2013.14 to 2014.15.,limited,Tender,works,6,11401,No,AR and MO Sewerage Scheme Manali Town SH Repair and Maintenance of complete sewer net work manholes flushing tanks and STP 1.82 MLD capacity for two years 2013.14 to 2014.15.,lumpSum,No,3392144,"executive Engineer, IPH division No. 1 Kullu",No,No,2014-01-31T11:10:00Z,2014-01-29T17:30:00Z,2014-01-08T18:30:00Z,120,730,HPIPH_2000,Er. upender vaidya,2014-01-29T17:30:00Z,2014-01-08T18:00:00Z,2014-01-29T17:30:00Z,2014-01-08T18:00:00Z,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.2,ocds-kjhdrl-2016_HPIPH_12994_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_HPIPH_12994_1,tender,2016-10-14T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2016_HPIPH_12994_1,2016-09-15T17:00:00Z,Providing and installation of 11Nos India Mark III 65mm India Mark III 50mm and 32mm mark-II deep well hand pumps in various Non Tribal Districts of Himachal Pradesh SH Drilling by DTH ODEX percussion Calyx RC Portable Rings 11 Nos Portabl,limited,Tender,works,4,8907-37 dated 14.9.2016,No,Providing and installation of 11Nos India Mark III 65mm India Mark III 50mm and 32mm mark-II deep well hand pumps in various Non Tribal Districts of Himachal Pradesh SH Drilling by DTH ODEX percussion Calyx RC Portable Rings 11 Nos Portabl,itemRate,No,1514525,O/O Executive Enginner IPH Division Thural,No,No,2016-10-14T11:30:00Z,2016-10-14T11:00:00Z,2016-09-15T17:00:00Z,120,90,HPIPH_2000,Executive Enginner IPH Division Thural,2016-10-14T11:00:00Z,2016-09-15T17:00:00Z,,,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.3,ocds-kjhdrl-2013_HPIPH_2207_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2013_HPIPH_2207_1,tender,2019-06-18T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2013_HPIPH_2207_1,2013-07-05T17:00:00Z,Providing and installation of India Mark III 65mm dia India Mark II 32mm dia deep well hand pump in IPH Division Kullu I Kullu Total 20 Nos. hand pumps 18 Nos. with ODEX and 2 Nos. with DTH method.,limited,Tender,works,3,3547-3595,No,Providing and installation of India Mark III 65mm dia India Mark II 32mm dia deep well hand pump in IPH Division Kullu I Kullu Total 20 Nos. hand pumps 18 Nos. with ODEX and 2 Nos. with DTH method.,itemRate,No,2708880,EEIPH Division No.I Kullu,No,No,2013-07-25T14:00:00Z,2013-07-24T18:30:00Z,2013-07-05T17:00:00Z,120,180,HPIPH_2000,EEIPH Division No.I Kullu,2013-07-24T18:30:00Z,2013-07-05T17:00:00Z,,,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.4,ocds-kjhdrl-2016_HPIPH_11219_3-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_HPIPH_11219_3,tender,2018-05-25T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",2016_HPIPH_11219_3,2016-03-26T10:00:00Z,Providing GWSS to PC Hab Bharech in GP Himri Tehsil Kotkhai Distt Shimla HP SH C O RCC Spring Intake 1 No C O RCC Storage Tank 20000 Ltrs cap 1No T L and jointing of GI Pipes of various dia,limited,Tender,works,5,9227-40 dated 21/03/2016,No,Providing GWSS to PC Hab Bharech in GP Himri Tehsil Kotkhai Distt Shimla HP SH C O RCC Spring Intake 1 No C O RCC Storage Tank 20000 Ltrs cap 1No T L and jointing of GI Pipes of various dia,itemRate,No,1205569,IPH Division Jubbal,No,No,2016-04-26T11:45:00Z,2016-04-26T11:30:00Z,2016-03-26T10:00:00Z,120,180,HPIPH_2000,Executive Engineer,2016-04-26T11:30:00Z,2016-03-26T10:00:00Z,2016-04-26T11:00:00Z,2016-03-26T10:00:00Z,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.5,ocds-kjhdrl-2016_HPIPH_14087_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_HPIPH_14087_1,tender,2019-07-25T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Palampur,Irrigation and Public Health,HP",2016_HPIPH_14087_1,2016-12-27T17:00:00Z,Construction of distribution system of flow irrigation scheme Pandtuhal kuhl in Tehsil Palampur District Kangra,limited,Tender,works,4,13155-13200,No,Construction of reinforced cement concrete lining 8328 running metre in various branches of kuhl.,itemRate,No,15800222,"IPH Division, Palampur",No,No,2017-01-24T11:30:00Z,2017-01-24T11:00:00Z,2016-12-27T17:00:00Z,120,540,HPIPH_2000,Executive Engineer,2017-01-24T11:00:00Z,2016-12-27T17:00:00Z,,,6.4,SDGTarget,"By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity",
0.6,ocds-kjhdrl-2016_MC_10913_3-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_MC_10913_3,tender,2018-07-21T00:00:00Z,MC_2000,Municipal Corporation Shimla||Road and Building - MC,2016_MC_10913_3,2016-03-09T13:30:00Z,Development of Rani Ground at Kasumpti Parimahal,limited,Tender,works,2,MC s/XEN/R and B/2016-310 dt 18.2.16,No,Development of Rani Ground at Kasumpti Parimahal,itemRate,No,7128573,Shimla,No,No,2016-03-30T11:00:00Z,2016-03-28T10:30:00Z,2016-03-09T13:30:00Z,120,180,MC_2000,Executive Engineeer,2016-03-28T10:30:00Z,2016-03-09T13:30:00Z,,,,,,
0.7,ocds-kjhdrl-2016_HPIPH_13646_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_HPIPH_13646_1,tender,2018-05-02T00:00:00Z,HPIPH_2000,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2016_HPIPH_13646_1,2016-11-15T14:00:00Z,Providing and Installation of 12 Nos India Mark III 65mm and 32mm MarkII Deepwell Hand Pumps in Distt Solan HP SH Drilling of 4 Nos Hand Pumps by DTH Rig and 8 Nos Hand Pumps by ODEX Rig for 80 mtrs Deep standard bore,limited,Tender,works,4,11475-85 dated 11-11-2016,No,Providing and Installation of 12 Nos India Mark III 65mm and 32mm MarkII Deepwell Hand Pumps in Distt Solan HP SH Drilling of 4 Nos Hand Pumps by DTH Rig and 8 Nos Hand Pumps by ODEX Rig for 80 mtrs Deep standard bore,itemRate,No,1811520,IPH Division Nalagarh,No,No,2016-12-02T11:30:00Z,2016-12-02T11:00:00Z,2016-11-15T15:00:00Z,120,90,HPIPH_2000,Executive Engineer,2016-12-02T11:00:00Z,2016-11-15T14:00:00Z,,,3.3,SDGTarget,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",
0.8,ocds-kjhdrl-2016_PWD_10588_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_PWD_10588_1,tender,2019-05-03T00:00:00Z,PWD_2000,PWD,2016_PWD_10588_1,2016-02-17T17:00:00Z,Providing 320 KVA DG Set in Old Hospital building of Distt. Bilaspur HP,limited,Tender,works,3,5614-16 dated 4.02.2016,No,Providing DG set 320 KVA DG set,itemRate,No,3770878,XEN Elect division HPPWD Una,No,No,2016-03-10T11:30:00Z,2016-03-09T17:00:00Z,2016-02-17T17:00:00Z,120,60,PWD_2000,XEN Elect Divn HPPWD Una,2016-03-09T17:00:00Z,2016-02-17T17:00:00Z,,,3.8,SDGTarget,"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all",
0.9,ocds-kjhdrl-2016_PWD_11895_1-2020-08-25T11:00:00Z,compiled,2020-08-25T11:00:00Z,ocds-kjhdrl-2016_PWD_11895_1,tender,2019-06-11T00:00:00Z,PWD_2000,PWD,2016_PWD_11895_1,2016-05-18T09:00:00Z,Construction of 114.00 mtr span suspension Bridge over Chikni Khad from Dhar Kotla to Tallan at Keori G.P Keori Tehsil Nalagarh Distt Solan ( H.P ),limited,Tender,works,2,PW-NLD-EA-I-Tender/16-1053-61 Dt. 28.05.16,No,Construction of 114.00 mtr span suspension Bridge over Chikni Khad from Dhar Kotla to Tallan at Keori G.P Keori Tehsil Nalagarh Distt Solan HP.,itemRate,No,6367258,Executive Engneer HPPWD Division Nalagarh,No,No,2016-05-26T11:30:00Z,2016-05-26T11:00:00Z,2016-05-18T09:00:00Z,270,270,PWD_2000,Executive Engneer,2016-05-26T11:00:00Z,2016-05-18T09:00:00Z,,,,,,
