text,document_type,source_file,contract_id,buyer,value,category
"
    CONTRACT AGREEMENT
    
    TITLE: Balance works in HRTC Workshop Rampur at Una
    CONTRACT ID: 2016_BSMDA_13587_1
    EFFECTIVE DATE: 2016-11-11T16:30:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: Bus Stands Management and Development Authority
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Balance works in HRTC Workshop Rampur at Una. Sub Head Construction 12 no. workshop rooms 4 no. Stores 1 no. washing Dug shed Cement Concrete pavement in Bus Movement area Road side drain and boundary wall etc.
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 3 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $11,807,783.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: Bus Stands Management and Development Authority
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-11-11T16:30:00Z
    ",contract,data/training_data/contracts_training.csv,2016_BSMDA_13587_1,Bus Stands Management and Development Authority,11807783.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: AR and MO Sewerage Scheme Manali Town SH Repair and Maintenance of complete sewer net work manholes flushing tanks and STP 1.82 MLD capacity for two years 2013.14 to 2014.15.
    CONTRACT ID: 2014_HPIPH_3288_2
    EFFECTIVE DATE: 2014-01-08T18:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    AR and MO Sewerage Scheme Manali Town SH Repair and Maintenance of complete sewer net work manholes flushing tanks and STP 1.82 MLD capacity for two years 2013.14 to 2014.15.
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 5 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $3,392,144.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and lumpSum contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2014-01-08T18:00:00Z
    ",contract,data/training_data/contracts_training.csv,2014_HPIPH_3288_2,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",3392144.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Providing and installation of 11Nos India Mark III 65mm India Mark III 50mm and 32mm mark-II deep well hand pumps in various Non Tribal Districts of Himachal Pradesh SH Drilling by DTH ODEX percussion Calyx RC Portable Rings 11 Nos Portabl
    CONTRACT ID: 2016_HPIPH_12994_1
    EFFECTIVE DATE: 2016-09-15T17:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Providing and installation of 11Nos India Mark III 65mm India Mark III 50mm and 32mm mark-II deep well hand pumps in various Non Tribal Districts of Himachal Pradesh SH Drilling by DTH ODEX percussion Calyx RC Portable Rings 11 Nos Portabl
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 3 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $1,514,525.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-09-15T17:00:00Z
    ",contract,data/training_data/contracts_training.csv,2016_HPIPH_12994_1,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",1514525.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Providing and installation of India Mark III 65mm dia India Mark II 32mm dia deep well hand pump in IPH Division Kullu I Kullu Total 20 Nos. hand pumps 18 Nos. with ODEX and 2 Nos. with DTH method.
    CONTRACT ID: 2013_HPIPH_2207_1
    EFFECTIVE DATE: 2013-07-05T17:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Providing and installation of India Mark III 65mm dia India Mark II 32mm dia deep well hand pump in IPH Division Kullu I Kullu Total 20 Nos. hand pumps 18 Nos. with ODEX and 2 Nos. with DTH method.
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 4 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $2,708,880.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2013-07-05T17:00:00Z
    ",contract,data/training_data/contracts_training.csv,2013_HPIPH_2207_1,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2708880.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Providing GWSS to PC Hab Bharech in GP Himri Tehsil Kotkhai Distt Shimla HP SH C O RCC Spring Intake 1 No C O RCC Storage Tank 20000 Ltrs cap 1No T L and jointing of GI Pipes of various dia
    CONTRACT ID: 2016_HPIPH_11219_3
    EFFECTIVE DATE: 2016-03-26T10:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Providing GWSS to PC Hab Bharech in GP Himri Tehsil Kotkhai Distt Shimla HP SH C O RCC Spring Intake 1 No C O RCC Storage Tank 20000 Ltrs cap 1No T L and jointing of GI Pipes of various dia
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 2 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $1,205,569.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-03-26T10:00:00Z
    ",contract,data/training_data/contracts_training.csv,2016_HPIPH_11219_3,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",1205569.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Construction of distribution system of flow irrigation scheme Pandtuhal kuhl in Tehsil Palampur District Kangra
    CONTRACT ID: 2016_HPIPH_14087_1
    EFFECTIVE DATE: 2016-12-27T17:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Palampur,Irrigation and Public Health,HP
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Construction of reinforced cement concrete lining 8328 running metre in various branches of kuhl.
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 5 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $15,800,222.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Palampur,Irrigation and Public Health,HP
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-12-27T17:00:00Z
    ",contract,data/training_data/contracts_training.csv,2016_HPIPH_14087_1,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Palampur,Irrigation and Public Health,HP",15800222.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Development of Rani Ground at Kasumpti Parimahal
    CONTRACT ID: 2016_MC_10913_3
    EFFECTIVE DATE: 2016-03-09T13:30:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: Municipal Corporation Shimla||Road and Building - MC
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Development of Rani Ground at Kasumpti Parimahal
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 5 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $7,128,573.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: Municipal Corporation Shimla||Road and Building - MC
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-03-09T13:30:00Z
    ",contract,data/training_data/contracts_training.csv,2016_MC_10913_3,Municipal Corporation Shimla||Road and Building - MC,7128573.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Providing and Installation of 12 Nos India Mark III 65mm and 32mm MarkII Deepwell Hand Pumps in Distt Solan HP SH Drilling of 4 Nos Hand Pumps by DTH Rig and 8 Nos Hand Pumps by ODEX Rig for 80 mtrs Deep standard bore
    CONTRACT ID: 2016_HPIPH_13646_1
    EFFECTIVE DATE: 2016-11-15T14:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Providing and Installation of 12 Nos India Mark III 65mm and 32mm MarkII Deepwell Hand Pumps in Distt Solan HP SH Drilling of 4 Nos Hand Pumps by DTH Rig and 8 Nos Hand Pumps by ODEX Rig for 80 mtrs Deep standard bore
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 1 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $1,811,520.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-11-15T14:00:00Z
    ",contract,data/training_data/contracts_training.csv,2016_HPIPH_13646_1,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",1811520.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Providing 320 KVA DG Set in Old Hospital building of Distt. Bilaspur HP
    CONTRACT ID: 2016_PWD_10588_1
    EFFECTIVE DATE: 2016-02-17T17:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: PWD
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Providing DG set 320 KVA DG set
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 5 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $3,770,878.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: PWD
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-02-17T17:00:00Z
    ",contract,data/training_data/contracts_training.csv,2016_PWD_10588_1,PWD,3770878.0,works
"
    CONTRACT AGREEMENT
    
    TITLE: Construction of 114.00 mtr span suspension Bridge over Chikni Khad from Dhar Kotla to Tallan at Keori G.P Keori Tehsil Nalagarh Distt Solan ( H.P )
    CONTRACT ID: 2016_PWD_11895_1
    EFFECTIVE DATE: 2016-05-18T09:00:00Z
    
    PARTIES:
    This Agreement is made between:
    
    BUYER: PWD
    (hereinafter referred to as ""the Buyer"")
    
    AND
    
    CONTRACTOR: [Contractor Name]
    (hereinafter referred to as ""the Contractor"")
    
    ARTICLE I: RECITALS
    Construction of 114.00 mtr span suspension Bridge over Chikni Khad from Dhar Kotla to Tallan at Keori G.P Keori Tehsil Nalagarh Distt Solan HP.
    
    ARTICLE II: TERM
    This Agreement shall be effective as of the date first written above
    and shall continue for a period of 4 years,
    unless terminated earlier in accordance with the provisions herein.
    
    ARTICLE III: COMPENSATION
    The total contract value shall not exceed $6,367,258.00
    payable in accordance with the payment schedule attached hereto as Exhibit A.
    
    ARTICLE IV: SCOPE OF WORK
    The Contractor shall perform all work in accordance with the
    works category and itemRate contract type.
    
    ARTICLE V: GOVERNING LAW
    This Agreement shall be governed by and construed in accordance
    with the laws of the applicable jurisdiction.
    
    IN WITNESS WHEREOF, the parties have executed this Agreement
    as of the Effective Date.
    
    FOR THE BUYER:
    ___________________________
    Name: PWD
    Title: Procurement Manager
    
    FOR THE CONTRACTOR:
    ___________________________
    Name: [Contractor Representative]
    Title: Authorized Signatory
    
    Date: 2016-05-18T09:00:00Z
    ",contract,data/training_data/contracts_training.csv,2016_PWD_11895_1,PWD,6367258.0,works
